seq,src,out_mp3,status,note
s050,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s050.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s050.mp3,ok,ok(attempt=1)
s051,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s051.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s051.mp3,ok,ok(attempt=1)
s052,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s052.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s052.mp3,ok,ok(attempt=1)
s053,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s053.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s053.mp3,ok,ok(attempt=1)
s054,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s054.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s054.mp3,ok,ok(attempt=1)
s055,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s055.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s055.mp3,ok,ok(attempt=1)
s056,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s056.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s056.mp3,ok,ok(attempt=1)
s057,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s057.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s057.mp3,ok,ok(attempt=1)
s058,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s058.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s058.mp3,ok,ok(attempt=1)
s059,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s059.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s059.mp3,ok,ok(attempt=1)
s060,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s060.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s060.mp3,ok,ok(attempt=1)
s061,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s061.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s061.mp3,ok,ok(attempt=1)
s062,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s062.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s062.mp3,ok,ok(attempt=1)
s063,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s063.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s063.mp3,ok,ok(attempt=1)
s064,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s064.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s064.mp3,ok,ok(attempt=1)
s065,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s065.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s065.mp3,ok,ok(attempt=1)
s066,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s066.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s066.mp3,ok,ok(attempt=1)
s067,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s067.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s067.mp3,ok,ok(attempt=1)
s068,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s068.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s068.mp3,ok,ok(attempt=1)
s069,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s069.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s069.mp3,ok,ok(attempt=1)
s070,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s070.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s070.mp3,ok,ok(attempt=1)
s071,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s071.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s071.mp3,ok,ok(attempt=1)
s072,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s072.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s072.mp3,ok,ok(attempt=1)
s073,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s073.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s073.mp3,ok,ok(attempt=1)
s074,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s074.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s074.mp3,ok,ok(attempt=1)
s075,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s075.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s075.mp3,ok,ok(attempt=1)
s076,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s076.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s076.mp3,ok,ok(attempt=1)
s077,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s077.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s077.mp3,ok,ok(attempt=1)
s078,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s078.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s078.mp3,ok,ok(attempt=1)
s079,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s079.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s079.mp3,ok,ok(attempt=1)
s080,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s080.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s080.mp3,ok,ok(attempt=1)
s081,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s081.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s081.mp3,ok,ok(attempt=1)
s082,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s082.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s082.mp3,ok,ok(attempt=1)
s083,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s083.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s083.mp3,ok,ok(attempt=1)
s084,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s084.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s084.mp3,ok,ok(attempt=1)
s085,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s085.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s085.mp3,ok,ok(attempt=1)
s086,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s086.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s086.mp3,ok,ok(attempt=1)
s087,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s087.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s087.mp3,ok,ok(attempt=1)
s088,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s088.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s088.mp3,ok,ok(attempt=1)
s089,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s089.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s089.mp3,ok,ok(attempt=1)
s090,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s090.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s090.mp3,ok,ok(attempt=1)
s091,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s091.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s091.mp3,ok,ok(attempt=1)
s092,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s092.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s092.mp3,ok,ok(attempt=1)
s093,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s093.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s093.mp3,ok,ok(attempt=1)
s094,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s094.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s094.mp3,ok,ok(attempt=1)
s095,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s095.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s095.mp3,ok,ok(attempt=1)
s096,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s096.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s096.mp3,ok,ok(attempt=1)
s097,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s097.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s097.mp3,ok,ok(attempt=1)
s098,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s098.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s098.mp3,ok,ok(attempt=1)
s099,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s099.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s099.mp3,ok,ok(attempt=1)
s100,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s100.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s100.mp3,ok,ok(attempt=1)
s101,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s101.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s101.mp3,ok,ok(attempt=1)
s102,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s102.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s102.mp3,ok,ok(attempt=1)
s151,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s151.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s151.mp3,ok,ok(attempt=1)
s152,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s152.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s152.mp3,ok,ok(attempt=1)
s153,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s153.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s153.mp3,ok,ok(attempt=1)
s154,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s154.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s154.mp3,ok,ok(attempt=1)
s155,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s155.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s155.mp3,ok,ok(attempt=1)
s156,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s156.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s156.mp3,ok,ok(attempt=1)
s157,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s157.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s157.mp3,ok,ok(attempt=1)
s158,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s158.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s158.mp3,ok,ok(attempt=1)
s159,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s159.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s159.mp3,ok,ok(attempt=1)
s160,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s160.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s160.mp3,ok,ok(attempt=1)
s161,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s161.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s161.mp3,ok,ok(attempt=1)
s162,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s162.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s162.mp3,ok,ok(attempt=1)
s163,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s163.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s163.mp3,ok,ok(attempt=1)
